Country,Sector,Year,Forecasted_Inflation_Rate
India,Food,2025,2.725374274175777
India,Food,2026,2.6872633189439923
India,Food,2027,2.649152363712208
India,Food,2028,2.611041408480423
India,Food,2029,2.572930453248638
India,Energy,2025,2.7660194847503954
India,Energy,2026,2.7787515807364045
India,Energy,2027,2.791483676722414
India,Energy,2028,2.804215772708423
India,Energy,2029,2.8169478686944327
India,Transport,2025,3.7526566546942326
India,Transport,2026,3.754048130030285
India,Transport,2027,3.755439605366337
India,Transport,2028,3.7568310807023892
India,Transport,2029,3.7582225560384415
India,Healthcare,2025,3.7380161282905866
India,Healthcare,2026,3.734201937906421
India,Healthcare,2027,3.730387747522255
India,Healthcare,2028,3.7265735571380896
India,Healthcare,2029,3.7227593667539236
India,Education,2025,4.209999995612701
India,Education,2026,4.2499999875001135
India,Education,2027,4.289999979387525
India,Education,2028,4.329999971274936
India,Education,2029,4.369999963162347
Germany,Food,2025,2.5992911879854677
Germany,Food,2026,2.6320686526742385
Germany,Food,2027,2.6648461173630094
Germany,Food,2028,2.69762358205178
Germany,Food,2029,2.730401046740551
Germany,Energy,2025,2.1326943468064945
Germany,Energy,2026,2.043913408317255
Germany,Energy,2027,1.9551324698280155
Germany,Energy,2028,1.8663515313387762
Germany,Energy,2029,1.7775705928495367
Germany,Transport,2025,3.561330168563806
Germany,Transport,2026,3.558844539341793
Germany,Transport,2027,3.55635891011978
Germany,Transport,2028,3.5538732808977667
Germany,Transport,2029,3.5513876516757534
Germany,Healthcare,2025,4.219321700712267
Germany,Healthcare,2026,4.136652161572044
Germany,Healthcare,2027,4.053982622431821
Germany,Healthcare,2028,3.971313083291599
Germany,Healthcare,2029,3.888643544151376
Germany,Education,2025,2.525376837427156
Germany,Education,2026,2.5050845857135515
Germany,Education,2027,2.4847923339999474
Germany,Education,2028,2.464500082286343
Germany,Education,2029,2.4442078305727386
Denmark,Food,2025,2.8326612617169435
Denmark,Food,2026,2.8416902355817864
Denmark,Food,2027,2.8507192094466287
Denmark,Food,2028,2.8597481833114715
Denmark,Food,2029,2.868777157176314
Denmark,Energy,2025,2.559977256826818
Denmark,Energy,2026,2.502517271040082
Denmark,Energy,2027,2.445057285253346
Denmark,Energy,2028,2.38759729946661
Denmark,Energy,2029,2.3301373136798738
Denmark,Transport,2025,1.8319603254229855
Denmark,Transport,2026,1.763405061776571
Denmark,Transport,2027,1.6948497981301567
Denmark,Transport,2028,1.6262945344837425
Denmark,Transport,2029,1.5577392708373283
Denmark,Healthcare,2025,2.641343951915217
Denmark,Healthcare,2026,2.6863162936672333
Denmark,Healthcare,2027,2.73128863541925
Denmark,Healthcare,2028,2.7762609771712663
Denmark,Healthcare,2029,2.8212333189232828
Denmark,Education,2025,3.2819912877706447
Denmark,Education,2026,3.287625508139835
Denmark,Education,2027,3.293259728509025
Denmark,Education,2028,3.298893948878215
Denmark,Education,2029,3.3045281692474053
